Cell ID,PseudoTime,Time,Experiment
E5370_760,0.3801900950475237,760.0,5370
E19615_1829,0.9149574787393696,1829.0,19615
E995_1838,0.9194597298649324,1838.0,995
E2652_1013,0.5067533766883442,1013.0,2652
E19428_482,0.24112056028014,482.0,19428
E4646_1086,0.5432716358179089,1086.0,4646
E4789_1939,0.969984992496248,1939.0,4789
E850_920,0.4602301150575287,920.0,850
E15596_903,0.4517258629314657,903.0,15596
E13592_905,0.4527263631815908,905.0,13592
E10581_287,0.1435717858929464,287.0,10581
E16094_1463,0.7318659329664833,1463.0,16094
E11566_1879,0.9399699849924964,1879.0,11566
E7435_813,0.4067033516758379,813.0,7435
E17999_1831,0.9159579789894948,1831.0,17999
E15761_82,0.0410205102551275,82.0,15761
E905_1225,0.6128064032016008,1225.0,905
E4431_1495,0.7478739369684843,1495.0,4431
E6951_1261,0.6308154077038519,1261.0,6951
E9482_1398,0.6993496748374187,1398.0,9482
E3025_1406,0.7033516758379189,1406.0,3025
E8956_506,0.2531265632816408,506.0,8956
E4605_193,0.0965482741370685,193.0,4605
E313_703,0.3516758379189594,703.0,313
E13538_1139,0.5697848924462231,1139.0,13538
E15447_1972,0.9864932466233116,1972.0,15447
E14122_39,0.0195097548774387,39.0,14122
E18678_118,0.0590295147573786,118.0,18678
E489_853,0.4267133566783391,853.0,489
E13488_324,0.1620810405202601,324.0,13488
E18884_248,0.1240620310155077,248.0,18884
E559_1966,0.9834917458729364,1966.0,559
E15736_1304,0.6523261630815408,1304.0,15736
E12551_884,0.4422211105552776,884.0,12551
E1461_242,0.1210605302651325,242.0,1461
E3496_83,0.0415207603801901,83.0,3496
E19560_305,0.152576288144072,305.0,19560
E5184_1004,0.5022511255627814,1004.0,5184
E10579_1861,0.9309654827413708,1861.0,10579
E12857_1920,0.96048024012006,1920.0,12857
E4330_616,0.3081540770385192,616.0,4330
E6960_1518,0.7593796898449224,1518.0,6960
E478_208,0.1040520260130065,208.0,478
E8119_343,0.1715857928964482,343.0,8119
